// File: 123Duchon.txt
// Data file for SeaPort projects
// Date: Mon Oct 31 21:48:25 EDT 2016
// parameters: 3 5 15 12 4 30
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Wilmington 10001 0
port Lawrence 10000 0
port Islam_Qala 10002 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_14 20014 10002 30034
  dock Pier_6 20006 10001 30016
  dock Pier_13 20013 10002 30033
  dock Pier_9 20009 10001 30019
  dock Pier_1 20001 10000 30001
  dock Pier_7 20007 10001 30017
  dock Pier_3 20003 10000 30003
  dock Pier_12 20012 10002 30032
  dock Pier_11 20011 10002 30031
  dock Pier_4 20004 10000 30004
  dock Pier_5 20005 10001 30015
  dock Pier_0 20000 10000 30000
  dock Pier_8 20008 10001 30018
  dock Pier_2 20002 10000 30002
  dock Pier_10 20010 10002 30030

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    pship            Bulrushes 30023 10001 191.59 475.36 56.06 16.35 2152 998 998
    pship             Pampered 30026 10001 50.36 315.51 54.88 23.09 1300 769 650
    pship         Intercessors 30044 10002 205.06 178.12 44.60 31.81 1409 788 704
    pship                Sered 30030 20010 217.92 258.75 82.25 23.69 1273 453 453
    pship               Booker 30002 20002 144.74 258.91 66.27 32.95 196 290 98
    pship            Verifiers 30013 10000 59.46 156.62 52.91 38.50 1449 582 582
    pship              Zooming 30009 10000 156.14 352.87 47.82 15.96 920 468 460
    pship               Chokey 30038 10002 187.40 392.55 62.97 26.34 325 1019 162
    pship         Preassembled 30015 20005 84.28 116.31 96.74 33.54 270 106 106
    pship           Sweltering 30032 20012 98.06 387.78 53.61 20.17 614 1046 307
    pship             Deficits 30021 10001 217.08 383.96 71.02 18.25 514 148 148
    pship             Keepable 30022 10001 163.22 485.25 52.31 25.97 1335 367 367
    pship              Missile 30037 10002 191.10 370.70 110.78 28.91 2736 909 909
    pship                Inapt 30020 10001 173.05 256.60 52.72 22.38 1850 723 723
    pship            Sexlessly 30004 20004 221.86 152.09 98.35 19.74 3364 896 896
    pship              Cantina 30008 10000 195.52 240.40 79.76 29.30 536 378 268
    pship          Preassigned 30027 10001 139.53 132.01 89.54 35.30 1059 844 529
    pship           Freighters 30017 20007 238.40 182.79 37.44 31.42 1253 537 537
    pship                Unify 30025 10001 133.71 172.32 30.84 19.43 2358 708 708
    pship             Uneasily 30029 10001 218.37 495.50 102.92 37.85 891 273 273
    pship             Gleaning 30012 10000 81.97 131.75 114.46 28.79 330 153 153
    pship              Stimuli 30003 20003 105.31 451.89 49.74 23.75 601 167 167
    pship             Automats 30034 20014 164.71 205.82 99.59 37.67 3142 972 972
    pship             Saveable 30005 10000 228.64 257.57 96.91 31.18 536 1062 268
    pship        Inoffensively 30036 10002 248.92 205.28 123.41 24.64 43 326 21
    pship              Thorned 30014 10000 167.03 405.53 86.22 30.10 1509 425 425
    pship                Chick 30042 10002 180.96 225.31 80.40 26.77 994 497 497
    pship           Outreached 30033 20013 132.40 329.34 55.04 27.56 2165 841 841
    pship               Snowed 30031 20011 65.19 213.40 89.89 16.87 3905 1005 1005
    pship           Overvalued 30011 10000 213.04 118.51 49.44 23.54 1972 792 792
    pship            Underling 30010 10000 169.51 145.37 83.44 16.13 1473 414 414
    pship               Sundae 30035 10002 224.64 212.66 104.84 35.91 2013 848 848
    pship               Lemons 30039 10002 183.25 210.37 110.89 25.30 1920 886 886
    pship              Eastman 30001 20001 154.54 131.22 63.03 21.24 887 902 443
    pship            Avianizes 30000 20000 191.66 276.51 110.11 23.09 3938 1023 1023
    pship          Nonvenomous 30019 20009 248.27 364.29 45.47 25.76 3577 1072 1072
    pship         Inequalities 30043 10002 202.13 388.92 86.67 29.67 80 1060 40
    pship           Antepartum 30006 10000 103.33 295.18 38.24 24.22 307 230 153
    pship            Yearlings 30016 20006 98.13 389.58 77.28 23.56 175 198 87
    pship             Skippers 30040 10002 245.54 478.14 59.85 15.17 1755 891 877
    pship             Caldrons 30041 10002 165.14 323.80 119.94 44.17 59 556 29
    pship            Upleaping 30024 10001 124.27 445.66 68.83 24.65 2185 555 555
    pship         Requirements 30018 20008 238.83 459.87 103.76 27.08 605 663 302
    pship      Valetudinarians 30007 10000 109.01 231.11 36.54 22.91 1471 446 446
    pship               Holden 30028 10001 157.53 302.12 75.90 17.95 244 598 122

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
//    cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
    cship             Blondish 40031 10002 80.10 299.47 88.97 31.09 86.26 193.44 988.26
    cship             Deprival 40035 10002 207.19 481.16 35.80 38.78 26.39 165.27 382.68
    cship          Containable 40001 10000 174.23 161.87 89.29 30.25 192.37 172.44 312.57
    cship                Unpeg 40030 10002 98.87 244.35 47.50 27.47 186.86 168.44 544.32
    cship     Unimpeachability 40010 10000 80.16 287.43 100.61 26.95 195.25 172.35 683.99
    cship              Luckily 40025 10002 79.65 406.19 45.47 21.83 188.64 136.66 177.95
    cship            Expounded 40011 10000 65.23 338.56 87.61 20.46 73.93 163.24 838.84
    cship           Footboards 40028 10002 54.45 410.03 117.25 29.01 102.83 129.03 305.12
    cship       Advantageously 40003 10000 215.95 436.02 77.94 17.65 134.84 119.00 92.95
    cship            Pasturage 40018 10001 78.61 356.41 106.12 35.70 208.14 154.11 297.54
    cship           Recreation 40006 10000 214.70 318.68 122.03 36.98 175.16 159.83 429.52
    cship               Elbows 40009 10000 103.08 294.63 63.35 34.11 20.98 174.10 105.93
    cship           Standishes 40015 10001 133.07 357.87 103.90 17.68 208.79 199.86 394.23
    cship          Wisecracker 40023 10001 108.89 409.28 91.76 37.93 136.83 190.65 21.74
    cship              Parkers 40020 10001 134.23 191.56 39.90 25.47 155.02 170.50 637.71
    cship         Revalidation 40019 10001 192.98 463.10 58.62 31.70 45.87 106.23 858.88
    cship            Rebaptism 40000 10000 246.19 400.05 89.18 28.30 137.55 188.43 104.62
    cship               Winker 40008 10000 186.30 448.88 118.34 44.26 53.03 118.41 945.36
    cship             Totemism 40005 10000 95.80 390.48 30.07 30.84 158.99 166.63 96.79
    cship               Kashas 40029 10002 227.78 401.07 95.85 35.84 73.94 102.43 738.17
    cship          Enjambments 40013 10001 187.72 256.69 39.95 22.42 32.66 136.73 956.97
    cship                 Peal 40034 10002 218.64 414.48 63.30 29.62 122.18 111.13 798.10
    cship              Debrief 40004 10000 217.54 201.73 82.13 17.12 67.38 180.95 715.36
    cship           Grumpiness 40012 10001 192.51 440.69 125.27 41.62 122.60 119.08 149.76
    cship              Meeting 40021 10001 96.18 336.92 125.89 16.51 114.96 174.67 424.49
    cship                Metes 40027 10002 52.50 487.77 86.40 35.64 125.92 138.30 854.35
    cship               Sigher 40033 10002 92.04 269.13 89.26 44.92 117.63 166.56 810.56
    cship           Affronting 40007 10000 147.46 238.90 82.93 42.80 69.69 161.03 452.40
    cship               Oliver 40022 10001 211.67 293.40 62.49 21.98 208.75 114.07 916.77
    cship              Fooling 40016 10001 60.67 118.54 64.55 41.02 158.34 149.80 255.98
    cship            Larcenist 40014 10001 162.33 481.18 38.74 16.83 22.30 179.03 623.05
    cship          Elaborately 40032 10002 61.71 436.66 35.94 16.59 207.63 120.63 815.89
    cship         Stupefaction 40024 10002 246.96 154.61 108.63 36.50 105.67 137.94 975.50
    cship          Torpedolike 40002 10000 234.72 360.25 107.00 20.65 106.47 166.97 359.96
    cship         Unsatisfying 40017 10001 56.49 353.88 127.10 39.06 170.87 105.83 116.16
    cship             Ninepins 40026 10002 158.85 398.13 119.79 20.21 76.46 168.34 376.43

// person name index parent skill
//    person <string> <int> <int> <string>
    person                 Jean 50016 10000 stevedore
    person              Crystal 50061 10002 craneOperator
    person                  Ada 50009 10000 mate
    person                 Faye 50012 10000 janitor
    person                Tonya 50082 10002 carpenter
    person                 Tony 50087 10002 carpenter
    person                Eddie 50058 10001 cleaner
    person                Betty 50045 10001 engineer
    person               Oliver 50046 10001 clerk
    person               Yvonne 50037 10001 mate
    person             Winifred 50056 10001 craneOperator
    person                Tommy 50042 10001 craneOperator
    person               Ashley 50021 10000 captain
    person               Johnny 50047 10001 cleaner
    person              Jasmine 50027 10000 electrician
    person              Rebecca 50028 10000 clerk
    person              Russell 50073 10002 cleaner
    person              Richard 50043 10001 mate
    person               Jackie 50034 10001 inspector
    person                 Eula 50036 10001 crew
    person                 Lisa 50063 10002 engineer
    person                 Troy 50074 10002 inspector
    person                 Owen 50022 10000 stevedore
    person               Leland 50018 10000 cleaner
    person               Albert 50010 10000 cleaner
    person                 Juan 50055 10001 crew
    person            Alexandra 50089 10002 crew
    person                  Lee 50062 10002 craneOperator
    person               Evelyn 50035 10001 crew
    person             Charlene 50081 10002 carpenter
    person              Estelle 50078 10002 stevedore
    person               Gloria 50024 10000 clerk
    person                Wanda 50031 10001 captain
    person                Tonya 50050 10001 engineer
    person             Courtney 50059 10001 clerk
    person                Jamie 50044 10001 mate
    person                Wilma 50038 10001 cleaner
    person                 Tony 50040 10001 cleaner
    person                Edwin 50003 10000 engineer
    person          Christopher 50049 10001 mechanic
    person              Rebecca 50070 10002 captain
    person               Beulah 50080 10002 driver
    person              Kathryn 50083 10002 janitor
    person             Jonathon 50023 10000 inspector
    person                Vicky 50084 10002 janitor
    person               Dwayne 50079 10002 janitor
    person                Roger 50008 10000 crew
    person                Diane 50011 10000 painter
    person                Jacob 50072 10002 cleaner
    person                 Jody 50054 10001 crew
    person                Pedro 50002 10000 cleaner
    person                Angie 50013 10000 stevedore
    person              Darnell 50029 10000 craneOperator
    person                Brett 50017 10000 stevedore
    person                 Karl 50053 10001 inspector
    person               Marion 50085 10002 janitor
    person                Garry 50032 10001 clerk
    person               Martin 50004 10000 cleaner
    person               Wilbur 50057 10001 stevedore
    person               Dennis 50020 10000 cleaner
    person             Geoffrey 50048 10001 electrician
    person               Kelvin 50025 10000 craneOperator
    person              Claudia 50041 10001 engineer
    person                 Clay 50086 10002 janitor
    person                 Wade 50000 10000 captain
    person               Dexter 50066 10002 crew
    person             Patricia 50076 10002 mate
    person             Beatrice 50088 10002 mate
    person               Leslie 50065 10002 driver
    person                Mario 50007 10000 engineer
    person               Eugene 50019 10000 craneOperator
    person               Regina 50075 10002 mate
    person                Isaac 50033 10001 engineer
    person              Kristin 50006 10000 cleaner
    person               Alfred 50051 10001 electrician
    person           Kristopher 50015 10000 craneOperator
    person                Ruben 50005 10000 stevedore
    person                 Olga 50001 10000 captain
    person                 Cody 50071 10002 mechanic
    person                 Tami 50069 10002 clerk
    person              Marilyn 50030 10001 clerk
    person               Johnny 50067 10002 driver
    person               Milton 50068 10002 engineer
    person               Marcia 50052 10001 craneOperator
    person              Micheal 50039 10001 clerk
    person               Lauren 50060 10002 crew
    person                Harry 50064 10002 captain
    person                Jason 50014 10000 craneOperator
    person                 Leon 50026 10000 inspector
    person               Violet 50077 10002 clerk

// job    name index parent duration [skill]* (zero or more, matches skill in person, may repeat)
//    job    <string> <int> <int> <double> [<string>]*
    job         Job_13_72_52 60034 30008 44.72
    job         Job_27_53_62 60272 30044 97.72 mate mechanic
    job         Job_73_53_98 60114 30016 92.98 driver
    job         Job_98_10_86 60298 40029 71.50 stevedore carpenter
    job         Job_18_18_58 60015 30003 30.26 painter cleaner driver
    job         Job_53_51_95 60113 30016 40.07 janitor engineer driver engineer
    job         Job_16_22_28 60162 30028 111.07
    job         Job_43_91_24 60244 30037 103.87 inspector
    job         Job_25_43_47 60024 30006 107.47 captain janitor captain
    job         Job_47_81_82 60048 30012 98.82 janitor
    job         Job_32_56_30 60059 30014 68.15 mechanic
    job         Job_62_63_65 60212 40023 86.69 engineer janitor
    job         Job_55_28_76 60003 30000 79.59 clerk clerk
    job         Job_99_37_23 60148 30025 67.76 stevedore engineer painter
